Organization/Person Name,Score,Region
Techstars,7165.0,US
500 Global,3921.0,US
New Enterprise Associates,3422.0,US
Accel,2904.0,US
Plug and Play,2291.0,US
Alumni Ventures,2199.0,US
Kleiner Perkins,2106.0,US
Andreessen Horowitz,2093.0,US
Goldman Sachs,1879.0,US
Google Ventures,1664.0,US
Khosla Ventures,1589.0,US
Norwest Venture Partners,1363.0,US
BoxGroup,935.0,US
International Finance Corporation,844.0,US
RA Capital Management,818.0,US
General Atlantic,779.0,US
F-Prime Capital,657.0,US
Headline,650.0,US
IndieBio,541.0,US
Wellington Management,515.0,US
